# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1418322859;701838.57;42.67;-689843.37
axle;60;1418322919;-69311.42;4.32;68295.43
axle;60;1418322979;-70918.58;2.42;53803.68
axle;60;1418323039;-44106.18;2.73;56118.85
axle;60;1418323099;-67400.92;2.05;53857.87
axle;60;1418323159;-46858.98;2.32;53430.43
axle;60;1418323219;-37838.03;1.58;28740.73
axle;60;1418323279;-32467.08;2.72;32025.50
axle;60;1418323339;-33610.52;1.63;33139.75
axle;60;1418323399;-37781.05;1.52;37118.60
axle;60;1418323459;-21807.72;1.50;21546.57
axle;60;1418323519;-33193.37;1.23;15353.55
axle;60;1418323579;-2980.23;1.60;20116.25
axle;60;1418323639;-19586.92;1.72;19219.72
axle;60;1418323699;-9373.62;1.02;16263.75
axle;60;1418323759;-25061.55;0.77;17573.58
axle;60;1418323819;-17984.82;0.97;17644.87
axle;60;1418323879;-20834.18;0.87;20441.32
axle;60;1418323939;3455.25;0.98;13858.48
axle;60;1418323999;-14242.23;0.88;14002.95
axle;60;1418324059;-14386.13;0.80;14171.40
axle;60;1418324119;-14300.02;0.82;14073.28
axle;60;1418324179;-14505.90;0.78;14275.73
axle;60;1418324239;-14259.20;0.90;14036.95
axle;60;1418324299;-14346.13;0.82;14117.23
axle;60;1418324359;-14314.82;0.85;14090.58
axle;60;1418324419;-14263.32;0.90;14036.13
axle;60;1418324479;-14041.22;0.77;13827.27
axle;60;1418324539;-14326.73;0.82;14104.62
axle;60;1418324599;-14331.93;0.87;14115.17
axle;60;1418324659;-14238.80;0.83;14013.77
axle;60;1418324719;-14274.47;0.77;14064.35
axle;60;1418324779;-14373.22;0.93;14147.18
axle;60;1418324839;-6572.83;-578.93;6946.77
axle;60;1418324899;-106.20;-0.85;-69.30
axle;60;1418324959;69.82;-0.20;-207.70
axle;60;1418325019;-109.98;0.72;-47.12
axle;60;1418325079;29.13;0.83;-185.15
axle;60;1418325139;-19.83;0.63;-31.15
axle;60;1418325199;-6.08;0.15;-102.07
axle;60;1418325259;55.10;0.27;-151.03
axle;60;1418325319;113.35;0.17;-150.05
axle;60;1418325379;-129.33;0.05;-16.08
axle;60;1418325439;139.67;-0.70;-280.00
axle;60;1418325499;-123.03;-0.17;21.88
axle;60;1418325559;91.73;-0.17;-123.75
axle;60;1418325619;-43.65;0.55;26.90
axle;60;1418325679;90.60;-0.38;-207.80
axle;60;1418325739;-181.02;-0.37;184.32
axle;60;1418325799;62.08;-0.92;-76.57
axle;60;1418325859;17.67;-0.60;-49.60
axle;60;1418325919;-0.03;0.75;8.57
axle;60;1418325979;-0.33;0.82;4.80
axle;60;1418326039;112.33;-50.83;-17326.58
axle;60;1418326099;-145.68;0.38;36.77
axle;60;1418326159;183.58;0.75;-257.40
axle;60;1418326219;-59.17;0.33;-19.80
axle;60;1418326279;-178.25;-0.30;98.83
axle;60;1418326339;112.07;0.52;-152.25
axle;60;1418326399;79.60;0.55;-163.28
axle;60;1418326459;-205.93;0.58;116.02
axle;60;1418326519;50.52;0.60;-123.33
axle;60;1418326579;123.05;0.48;-193.73
axle;60;1418326639;-121.95;0.85;38.62
axle;60;1418326699;8.87;0.60;-79.75
axle;60;1418326759;230.75;0.70;-313.13
axle;60;1418326819;-236.45;0.97;140.08
axle;60;1418326879;33.67;-0.67;-533.28
axle;60;1418326939;4599.95;1.47;-51336.98
axle;60;1418326999;-4632.62;-1.23;-15530.88
axle;60;1418327059;104.95;-0.95;-2556.08
axle;60;1418327119;-134.95;-1.48;-65.58
axle;60;1418327179;-16.40;-11.52;-215.83
axle;60;1418327239;35.20;0.95;-248.93
axle;60;1418327299;27218.40;0.85;-9671.18
axle;60;1418327359;-13839.97;1.20;13498.00
axle;60;1418327419;-13377.38;1.98;13027.68
axle;60;1418327479;120.67;0.95;-307.50
axle;60;1418327539;-38.30;0.35;-150.00
axle;60;1418327599;45.27;-460.73;-45.23
axle;60;1418327659;38250.15;1.42;-20177.38
axle;60;1418327719;-12800.23;1.25;12476.32
axle;60;1418327779;-25539.77;-0.98;24778.83
axle;60;1418327839;51709.77;-1.50;-33341.33
axle;60;1418327899;-51787.78;1.02;50661.95
axle;60;1418327959;85975.73;2.10;-67397.10
axle;60;1418328019;-1947.35;16.08;1935.12
axle;60;1418328079;-1934.77;0.88;1953.25
axle;60;1418328139;-1888.70;0.82;1885.35
axle;60;1418328199;-1913.93;0.83;1920.07
axle;60;1418328259;-1970.58;0.88;1973.37
axle;60;1418328319;-2100.10;0.85;2047.27
axle;60;1418328379;-2130.83;0.82;2068.22
axle;60;1418328439;-1913.90;0.80;1867.32
axle;60;1418328499;-1955.00;0.82;1901.18
axle;60;1418328559;-2014.68;0.87;1967.58
axle;60;1418328619;-2179.20;0.88;2118.95
axle;60;1418328679;-2149.37;0.87;2099.68
axle;60;1418328739;-2226.88;0.80;2162.27
axle;60;1418328799;-2262.32;0.83;2212.25
axle;60;1418328859;-2124.85;0.88;2065.85
axle;60;1418328919;-2025.37;0.90;1976.65
axle;60;1418328979;-2186.98;0.87;2118.47
axle;60;1418329039;-2173.38;0.85;2124.23
axle;60;1418329099;-2539.30;0.93;2475.82
axle;60;1418329159;-5996.70;0.85;5887.42
axle;60;1418329219;-11832.65;1.07;11534.20
axle;60;1418329279;-9656.17;1.02;9459.98
axle;60;1418329339;-9519.62;0.97;9310.05
axle;60;1418329399;-9171.47;2.02;8937.45
axle;60;1418329459;-31.57;0.63;-115.87
axle;60;1418329519;10.65;-0.65;-144.78
axle;60;1418329579;33.33;-0.77;-133.58
axle;60;1418329639;-167.12;-12.68;95.23
axle;60;1418329699;-13.67;0.52;-46.63
axle;60;1418329759;80.12;-0.83;-145.97
